codigo_divipola,municipio,aro,registros_rufe
76020,Alcalá,NORTE,1273
76036,Andalucía,CENTRO,1000
76041,Ansermanuevo,NORTE,1959
76054,Argelia,NORTE,1370
76100,Bolívar,NORTE,2000
76109,Buenaventura,SUR,13923
76113,Bugalagrande,CENTRO,1800
76122,Caicedonia,NORTE,2422
76001,Cali,SUR,20774
76126,Calima - El Darién,CENTRO,1418
76130,Candelaria,SUR,248
76147,Cartago,NORTE,909
76233,Dagua,SUR,3435
76246,El Cairo,NORTE,1098
76248,El Cerrito,CENTRO,151
76250,El Dovio,NORTE,1211
76243,El Águila,NORTE,1276
76275,Florida,SUR,219
76306,Ginebra,CENTRO,179
76318,Guacarí,CENTRO,130
76111,Guadalajara de Buga,CENTRO,502
76364,Jamundí,SUR,1980
76377,La Cumbre,SUR,1592
76400,La Unión,NORTE,3332
76403,La Victoria,NORTE,891
76497,Obando,NORTE,693
76520,Palmira,SUR,171
76563,Pradera,SUR,191
76606,Restrepo,CENTRO,1737
76616,Riofrío,CENTRO,1745
76622,Roldanillo,NORTE,4501
76670,San Pedro,CENTRO,749
76736,Sevilla,NORTE,3873
76823,Toro,NORTE,2006
76828,Trujillo,CENTRO,2336
76834,Tuluá,CENTRO,868
76845,Ulloa,NORTE,650
76863,Versalles,NORTE,1232
76869,Vijes,SUR,447
76890,Yotoco,CENTRO,2154
76892,Yumbo,SUR,438
76895,Zarzal,NORTE,2063
